Inicio de datos:
Giroscopo: -2.14, -0.49, -0.79
Acelerometro: 0.18, 0.99, 0.06
Giroscopo: -1.77, -0.24, -0.12
Acelerometro: 0.18, 0.99, 0.06
Giroscopo: -2.01, -0.31, -0.12
Acelerometro: 0.18, 0.99, 0.06
Giroscopo: -1.89, -0.12, 0.85
Acelerometro: 0.17, 1.00, 0.06
Giroscopo: -1.89, -1.28, 1.22
Acelerometro: 0.17, 1.00, 0.05
Giroscopo: -1.28, -0.61, 3.85
Acelerometro: 0.14, 1.00, 0.06
Giroscopo: -0.43, 1.16, 5.68
Acelerometro: 0.17, 1.04, 0.09
Giroscopo: 0.06, -0.43, 7.63
Acelerometro: 0.13, 1.04, 0.09
Giroscopo: 1.10, -5.13, 7.08
Acelerometro: 0.09, 0.97, 0.05
Giroscopo: 0.55, -5.74, 5.62
Acelerometro: 0.05, 0.97, 0.05
Giroscopo: -0.43, -2.26, 3.42
Acelerometro: -0.01, 0.92, 0.05
Giroscopo: -0.49, -1.71, 0.61
Acelerometro: 0.09, 1.01, 0.10
Giroscopo: -0.85, 1.28, -0.49
Acelerometro: 0.08, 1.01, 0.08
Giroscopo: -0.67, -2.20, -2.26
Acelerometro: 0.04, 0.98, 0.07
Giroscopo: -0.18, -0.85, -1.59
Acelerometro: 0.08, 1.00, 0.07
Giroscopo: -1.46, 0.31, -4.15
Acelerometro: 0.08, 1.00, 0.09
Giroscopo: -0.61, -3.05, -4.70
Acelerometro: 0.08, 0.99, 0.10
Giroscopo: -1.77, 1.10, -4.58
Acelerometro: 0.11, 1.00, 0.07
Giroscopo: -2.87, -1.10, -8.06
Acelerometro: 0.13, 0.99, 0.09
Giroscopo: -2.56, 0.85, -8.24
Acelerometro: 0.12, 0.97, 0.09
Giroscopo: -3.66, -1.10, -13.55
Acelerometro: 0.25, 1.06, 0.16
Giroscopo: -2.20, -3.91, -11.96
Acelerometro: 0.24, 1.05, 0.07
Giroscopo: -3.36, 3.91, -7.14
Acelerometro: 0.18, 0.99, 0.07
Giroscopo: -2.81, 0.00, -5.00
Acelerometro: 0.19, 0.99, 0.06
Giroscopo: -2.56, -0.06, -2.56
Acelerometro: 0.20, 0.99, 0.06
Giroscopo: -2.56, -2.14, -3.66
Acelerometro: 0.20, 0.99, 0.06
Giroscopo: -2.38, -1.22, -2.20
Acelerometro: 0.20, 0.99, 0.06
Giroscopo: -2.26, -0.67, -0.67
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -1.89, -0.61, -0.37
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -1.22, -0.31, 0.06
Acelerometro: 0.20, 0.99, 0.05
Giroscopo: -1.16, 0.18, 1.34
Acelerometro: 0.19, 0.99, 0.06
Giroscopo: -1.34, 0.24, 1.89
Acelerometro: 0.18, 0.99, 0.06
Giroscopo: 0.12, -1.95, 3.48
Acelerometro: 0.18, 0.99, 0.06
Giroscopo: -0.98, -0.61, 3.72
Acelerometro: 0.18, 1.00, 0.06
Giroscopo: -0.98, -0.79, 3.72
Acelerometro: 0.19, 1.07, 0.09
Giroscopo: -0.49, 1.22, 8.12
Acelerometro: 0.17, 1.07, 0.07
Giroscopo: 1.89, -6.16, 8.18
Acelerometro: 0.05, 0.90, 0.04
